,start,end,text
137,856.3199999999999,862.64, intuition behind those and not necessarily about the questions of building a practical systems
138,862.64,868.3199999999999," based on this. So, I will be talking about many of these issues during the course. But just that"
139,868.3199999999999,874.9599999999999," I want to read right that will not be the focus right. And so, the next challenge I have listed"
140,875.0400000000001,881.2, here is how confident can I be of the results. And what that I certainly will talk a little bit
141,881.2,889.6, because the whole premise of reporting machine learning results depends on how confident you can
142,889.6,895.44," be of the results right. And the last question am I describing the data correctly. So, that is"
143,895.44,904.0, a very very domain dependent and and and the question that you can answer only with your experience
144,904.0,909.68, as a machine learning or a data data science is professional or with with with time right.
145,909.68,914.32," So, but there are typical questions that you would like to ask that are there on the slides."
146,915.44,920.64," So, from the next in the next module we will look at the different learning paradigms in"
147,921.68,928.48, slightly more detail.
