,start,end,text
95,1099.6,1106.6," So, these are the isolation levels the transaction isolation levels."
96,1108.6,1114.6," So, the highest isolation level is serializability schedules."
97,1114.6,1122.6," So, in that so, these are the various kinds of problems that might arise if you choose any lower level of isolation."
98,1123.6,1126.6," So, there are what are called read uncommitted."
99,1126.6,1132.6," So, this is the lowest level of isolation that one can use but this is the most dangerous level."
100,1132.6,1138.6," So, SQL allows you only to run read only transactions in this mode."
101,1138.6,1144.6," So, access mode will be automatically set to read only if you choose beside the isolation level."
102,1144.6,1152.6," So, all these problems might arise that you read is might arise, unrepeatable reads might arise and also what are called pantons."
103,1152.6,1159.6," So, the pantons realize I will shortly talk to you a little bit about the pantons."
104,1159.6,1168.6, Then the next highest level is read higher level is read committed where dirty reads do not occur but unrepeatable reads might occur.
105,1168.6,1173.6, We have discussed this unrepeatable reads earlier and pantons also might occur.
106,1174.6,1186.6, As repeatable reads no dirty data will be read and no all the reads are repeatable and but pantons might occur.
107,1186.6,1189.6, I will tell you about what pantons are.
108,1189.6,1200.6," And the of course, the best thing to do is to run your transaction at serializability level in which you are guaranteed that none of this problem arise."
109,1201.6,1207.6," So, the problem of pantons is something which is like this."
110,1207.6,1219.6," This is to do with so supposing that some transaction has selected some tuples based on certain condition say for example,"
111,1219.6,1222.6," so for example, so it is not a part of pantons."
112,1222.6,1231.6," So, a bunch of tuples it has locked all the term and it is going ahead and working with it say getting max marked."
113,1231.6,1240.6," So, a transaction T2 will come into picture update the database within new tuple that satisfies this condition."
114,1240.6,1245.6," So, this record actually was not even existing in the database when the T1 started."
115,1245.6,1250.6," So, it has started and it has locked certain items which it is going to use."
116,1250.6,1260.6," So, obviously if T2 enters some record it might affect what is being done by T1."
117,1260.6,1263.6, Suppose it is computing max marks and you know that.
118,1263.6,1278.6," So, this kind of rows which get into the picture after you know the transaction actually started running are really or call this Phantom rows because they kind of come into the picture order to move."
119,1278.6,1287.6," So, these things cannot be antitiped by any of these things you have to take some extra precautions."
120,1287.6,1293.6," So, the usual locking protocol you know. So, you have locked whatever you wanted to do but so nobody will be able to touch it."
121,1293.6,1299.6, But then here is an new thing that you should have locked but it was not existing at the time you will start.
122,1299.6,1309.6," So, this is a Phantom. So, there is a solution for this and that we will not go into a lot details about that but it is called index locking."
123,1309.6,1331.6," So, there is a really thing called predicate locking. So, basically you should not just lock blocks or you know database items but you must also put somewhere a record saying that anybody who satisfies this particular condition has to be locked."
124,1331.6,1340.6," So, it should not be entered into the system. So, that is what it called index locking. So, that is a little advanced concept."
125,1340.6,1351.6," So, using such techniques they will be able to solve this issue of Phantom's in the content in such context."
126,1351.6,1361.6," So, with that so choose the isolation levels as see like the levels."
127,1361.6,1378.6," But of course, some statistics collecting transactions which you do not mind if you read some uncommitted data and say that you can run them at lower isolation levels."
128,1378.6,1388.6," So, we get some. Then they will actually run fast because they are not waiting for any locks to be released inside the data."
129,1388.6,1400.6," Good. So, with that let us close the discussion I have complete end of this slides as such."
130,1400.6,1409.6, But you can see that this I have given you an introduction to the various issues that are there in the concurrency control recovery.
131,1409.6,1414.6, But I have of course taken them as taken it as one module because the issues are pretty disconnected.
132,1414.6,1431.6, But there are a lot more details in this particular topic and all you do kind of spend time enjoy reading a little bit more about this fascinating frame called data collection.
133,1431.6,1440.6," So, with that we kind of complete end of this course formally. Thank you."
