,Unnamed: 0,start,end,text,best_match,similarity_score
70,70,581.1600000000001,589.08, in several embedded devices so the underlying operating systems actually would then distinguish,in severalded devices so the underlying operating system act actually addeduish,0.4276145937479241
74,74,613.08,618.9200000000001, the second use of the operating system is as a resource manager in the desktops and laptops,between the various windows and i server or ira or alias comp compleld statement kita do justive that this printf they do search and and his then ensure recralycty lanictuty distinguiscaly adding procovery and contr contrsylabyfey epending on the hardware so whatssot the second use of the operating system is as a resource manager in the desktops and laptops,0.46386740483417777
75,75,619.4,626.1999999999999, that we use today there are several applications which run almost concurrently for instance we would be,that we use sesi though almost concurrently for instance we would bed be,0.5562597684669305
76,76,626.1999999999999,633.0, using a web browser to browse the internet and almost at the same time we would be compiling some,using a web browser to browse the internet and almutus at the same time they are not addten and also soon his his sporting de the hosts or use dikutip allopospot and you wi will bewashe compiling some moys iting very fedotic and mass media we i must be tolot meing the syndrome and dawse executing them or we could being skype or a,0.4566827961453048
78,78,639.8,647.8, powerpoint application at almost the same time now the fact is that we could have several,powerpoint application at almost the same time now the fact is that and alllying hardware is constrained essentially kita have,0.7219399306257532
81,81,661.24,669.16, so the operating system ensures that it is feasible for multiple applications to share,so the operating system ensures that it is feasible for multiple aplikasis to share,0.8769444375806521
83,83,677.7199999999999,686.12, operating system manages for example the cpu the memory network the secondary storage devices,operating system manages for example the secondary storage devices,0.8157819221528638
84,84,686.12,693.0, like the hard disk the monitors and so on so all these components within your computer,like the hard disk the memori network and so on so all these components within your computer,0.8398629142796217
87,87,709.8,719.4, two hard disk and so on so the operating system needs to manage all these various devices and,like the hard disk the memori network and so on so all these components within your computer,0.46568281644137155
89,89,726.28,734.4399999999999, concurrently so with the help of the operating system it would be possible that multiple applications,concurrently so with the help of the operating system is adequately utilized to take an example let us consider the cpu,0.40855520988092686
92,92,750.28,757.88, every component in the system is adequately utilized to take an example let us consider the cpu,concurrently so with the help of the operating system is adequately utilized to take an example let us consider the cpu,0.7566468806844443
96,96,783.16,791.8, was to allow one application to execute on the cpu till it completes and then start the next,is to allow dua completes and after application,0.40948738600874457
97,97,791.8,799.48, application for example application one is made to execute on the processor and after application,is to allow dua completes and after application,0.4095363415605439
99,99,808.12,820.04, various applications on the processor is managed by the os now this scheme of sequentially executing,various applications on the processor is managed by the os now it up after the other completes although very simple to implement in the keyboard adde and we will see how modern,0.4101481054353624
100,100,820.04,827.4, one up after the other completes although very simple to implement in the operating system,various applications on the processor is managed by the os now it up after the other completes although very simple to implement in the keyboard adde and we will see how modern,0.6197244353944414
105,105,859.64,867.32, applications almost concurrently is the main memory now in order to execute each of these,another to be shared among the variousdots almost concurrently is the main memori now in order to execute each of these,0.6844906262451955
107,107,874.12,881.9599999999999, the operating system needs to ensure how this limited ram resource is shared among the various,applications needs to ensure apa this limited ram makes it difficult for the operating system,0.4937713985745507
108,108,882.76,890.04, applications executing on the system now what makes it difficult for the operating system,applications needs to ensure apa this limited ram makes it difficult for the operating system,0.5308307961880033
110,110,899.96,906.44, are executing on the computer system the sharing should be done in such a way so that applications,are executing on the computer system and so on,0.5217389833684111
113,113,923.0,927.32, know anything about the other applications running on the system and so on,are executing on the computer system and so on,0.41004078292523616
114,114,928.6,936.6, so why is this isolation required to take an example of why isolation is required let us consider,and about istilah search and know pada the system dan so crede respot http www tion required to take an example of why isolation is requel,0.48622869143693315
115,115,936.6,942.28, that application one is a web browser in which you are doing a banking transaction,that application one is a web browser in or consider,0.5368475771089634
116,116,942.92,949.64, for example you are entering your passwords and credit card details in the web browser which,kita are entering your passwords and credit card details in the situs browser or are osaction,0.6966289830478958
118,118,957.48,964.12, and let us assume that it is having a virus that is it is a malicious application,and let us assume that it is is it for the other hand aplikasi,0.6121630254048374
122,122,985.8,993.0, information such as your passwords and your credit card numbers therefore the operating system,kita are entering your passwords and credit card details in the situs browser or are osaction,0.4131997803533052
123,123,993.0,1001.56, should ensure that all these applications are isolated from each other and as we can see this,application one is doing or in other words the malicious application kita must see smart device thauld ensure that all these applications are isolated from each other and as we can see for do operating systems are ubiquitous almost itans every ostain emergency additive,0.5271520077487051
127,127,1022.52,1029.08, for needless to say each of these operating systems are designed keeping the application in mind,for needless to say each of thoch dari these operating system or contiki os is are designed environments such as wireless sensor nodes that are used in the internet of things,0.4573859308958565
128,128,1029.24,1037.72, for example the embedded os such as contiki operating systems or contiki os are designed for,for needless to say each of thoch dari these operating system or contiki os is are designed environments such as wireless sensor nodes that are used in the internet of things,0.40697971626471247
129,129,1037.72,1045.4, memory constrained environments such as wireless sensor nodes that are used in the internet of things,for needless to say each of thoch dari these operating system or contiki os is are designed environments such as wireless sensor nodes that are used in the internet of things,0.6499880189154084
132,132,1059.88,1069.4, that the power consumed by the entire system is kept minimum a second class of operating systems,consumed by the device is kept minimum so for example muchever mobile operating systems,0.5098762330169982
134,134,1075.88,1081.32, so examples of these are the android ios ubuntu touch and windows touch,so examples of these are the android ios ubuntu touch and windows touch,1.0
135,135,1083.0,1091.16, so these operating systems like the embedded os are designed in order to ensure that the power,are designed in order to ensure that the power,0.7713667269699824
136,136,1091.16,1097.64, consumed by the device is kept minimum so for example these operating systems are designed,consumed by the device is kept minimum so for example muchever mobile operating systems,0.7854620540083905
140,140,1119.48,1126.36, unlike the embedded os also need to take care of certain special devices,unlike the embedded os also need to take care of certain special devices,1.0
141,141,1126.52,1137.8, for instance the monitors or the lcd screens and key pads in other words the mobile os also,recovery and holding for itate spated windows addicks for me britec os add instance the monitors or the lcd screens and key pads in other words for itating,0.6366433108341287
145,145,1164.1999999999998,1172.4399999999998, where time is very important for example in several mission critical applications like rockets,system is the rtos or real time operating systems is very important for example automobiles or nuclear plants a delay in several mission ansical applications nice time is addal optimals like rockets,0.5460807130845968
149,149,1197.9599999999998,1204.4399999999998, operating systems are those used in secure environments so examples of these are,would be catastrophic so theyoss are those used in secure and sel 4 so addecially utilized for applications,0.41954504444562557
152,152,1220.12,1225.96, banking software and so on so the other classes of operating systems which you are,banking software and so on so the other classes of operating systems kita are,0.8886131924368842
153,153,1225.96,1233.4, quite familiar with are for those used for servers and desktops such as the red hat ubuntu and,quite familiar dengan are for those used for servers and desktops such as the red hat ubuntu and,0.9349274518333844
154,154,1233.4,1239.8000000000002, windows server oss while desktop operating systems are for example mac windows and ubuntu,windows server oss while desktop and theo will be,0.6675371147458842
158,158,1261.88,1272.44, mit specifically for teaching purposes so the xb6 os is small well documented and easy to understand,criss udying for this course is the xb6 os is small well documented and easy to understand,0.6075725565310258
161,161,1292.6799999999998,1300.36, therefore understanding xb6 would give you a nice insight about other modern day operating systems,furtherlyirat its give you a nice insight about other modern day operating systems,0.724851196729909
162,162,1300.36,1311.4, such as linux thank you,such as linux thank you verysigble services,0.7555672336880588
